attributes,energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2
energy,1.0,-0.4746334968481855,0.4734620275213224,-0.42530175247802776,-0.4253017524780266,-0.4253017524780264
intensity,-0.4746334968481855,1.0,-0.9998632749883052,0.8142062305633276,0.8142062305633264,0.814206230563324
residual,0.4734620275213224,-0.9998632749883052,1.0,-0.8044946472744229,-0.8044946472744254,-0.8044946472744208
fit,-0.42530175247802776,0.8142062305633276,-0.8044946472744229,1.0,1.0000000000000004,0.9999999999999983
pseudovoigt_1,-0.4253017524780266,0.8142062305633264,-0.8044946472744254,1.0000000000000004,1.0,0.9999999999999978
pseudovoigt_2,-0.4253017524780264,0.814206230563324,-0.8044946472744208,0.9999999999999983,0.9999999999999978,1.0
