attributes,energy,intensity_1,intensity_2,intensity_3,residual_1,fit_1,residual_2,fit_2,residual_3,fit_3,residual_avg,pseudovoigt_1_1,pseudovoigt_2_1,pseudovoigt_1_2,pseudovoigt_2_2,pseudovoigt_1_3,pseudovoigt_2_3
0,1.0,-0.8219840780930999,-0.7702069087785586,-0.8185793411043902,0.6023398546178159,-0.8388093942735719,-0.5574841386967802,-0.8123694165566062,0.46252946270613093,-0.8349112392162462,-0.2623707901799321,-0.8092696086734347,0.0152388720358294,-0.809269608673434,0.015238872035829158,-0.809269608673434,0.015238872035829699
1,-0.8219840780930999,1.0,0.9622133277829436,0.9994938484453434,-0.8932437449454208,0.9980198740257633,0.6348875004322901,0.9965692936048385,-0.7554628150954485,0.9983135835179408,0.14033978613695056,0.741712714858192,0.3088739245263433,0.7417127148581917,0.308873924526343,0.7417127148581915,0.3088739245263428
2,-0.7702069087785586,0.9622133277829436,1.0,0.9614895103789782,-0.8459173682444229,0.9622071056984429,0.4142310573147557,0.962645023569937,-0.704724760263326,0.9627920935578302,-0.08375370031031383,0.701562452867516,0.317802693561023,0.7015624528675155,0.3178026935610228,0.7015624528675155,0.31780269356102275
3,-0.8185793411043902,0.9994938484453434,0.9614895103789782,1.0,-0.8956156210694625,0.9971196220381806,0.635287785658085,0.996080790666665,-0.7679318651937795,0.9974805220314801,0.13575567413058762,0.738018677171128,0.31306801234673354,0.7380186771711278,0.31306801234673337,0.7380186771711285,0.3130680123467332
4,0.6023398546178159,-0.8932437449454208,-0.8459173682444229,-0.8956156210694625,1.0,-0.8631971691547944,-0.5688097983668907,-0.8792912231118465,0.9320691492073035,-0.8663024362939161,0.03842308544514708,-0.5136532732427769,-0.4562022185129619,-0.5136532732427767,-0.4562022185129619,-0.5136532732427765,-0.456202218512962
5,-0.8388093942735719,0.9980198740257633,0.9622071056984429,0.9971196220381806,-0.8631971691547944,1.0,0.6333924261682944,0.9961193016777654,-0.717974313375593,0.9998953781315633,0.16297633112662313,0.7610732931902607,0.2830363279804907,0.7610732931902598,0.2830363279804905,0.7610732931902601,0.28303632798049033
6,-0.5574841386967802,0.6348875004322901,0.4142310573147557,0.635287785658085,-0.5688097983668907,0.6333924261682944,1.0,0.6452015902049384,-0.46994618494213225,0.6356709523685592,0.7943765352837024,0.3769077199584919,0.33474702920825683,0.37690771995849165,0.33474702920825655,0.3769077199584918,0.3347470292082565
7,-0.8123694165566062,0.9965692936048385,0.962645023569937,0.996080790666665,-0.8792912231118465,0.9961193016777654,0.6452015902049384,1.0,-0.7313610505595675,0.9972881874117299,0.1660145777819103,0.7010285866857915,0.36635229156774746,0.7010285866857913,0.36635229156774723,0.7010285866857914,0.3663522915677471
8,0.46252946270613093,-0.7554628150954485,-0.704724760263326,-0.7679318651937795,0.9320691492073035,-0.717974313375593,-0.46994618494213225,-0.7313610505595675,1.0,-0.7205572081436444,0.14990797696225777,-0.4272347419285095,-0.37945500432117674,-0.42723474192850963,-0.37945500432117646,-0.4272347419285096,-0.3794550043211766
9,-0.8349112392162462,0.9983135835179408,0.9627920935578302,0.9974805220314801,-0.8663024362939161,0.9998953781315633,0.6356709523685592,0.9972881874117299,-0.7205572081436444,1.0,0.16356255700293562,0.7516107931137176,0.29688011677212894,0.7516107931137175,0.2968801167721286,0.7516107931137173,0.29688011677212844
10,-0.2623707901799321,0.14033978613695056,-0.08375370031031383,0.13575567413058762,0.03842308544514708,0.16297633112662313,0.7943765352837024,0.1660145777819103,0.14990797696225777,0.16356255700293562,1.0,0.0969834748240102,0.08612912355884134,0.09698347482401005,0.08612912355884125,0.09698347482401008,0.0861291235588412
11,-0.8092696086734347,0.741712714858192,0.701562452867516,0.738018677171128,-0.5136532732427769,0.7610732931902607,0.3769077199584919,0.7010285866857915,-0.4272347419285095,0.7516107931137176,0.0969834748240102,1.0,-0.4067300297685563,1.0,-0.4067300297685561,1.0000000000000002,-0.40673002976855654
12,0.0152388720358294,0.3088739245263433,0.317802693561023,0.31306801234673354,-0.4562022185129619,0.2830363279804907,0.33474702920825683,0.36635229156774746,-0.37945500432117674,0.29688011677212894,0.08612912355884134,-0.4067300297685563,1.0,-0.40673002976855627,0.9999999999999996,-0.4067300297685565,1.0000000000000007
13,-0.809269608673434,0.7417127148581917,0.7015624528675155,0.7380186771711278,-0.5136532732427767,0.7610732931902598,0.37690771995849165,0.7010285866857913,-0.42723474192850963,0.7516107931137175,0.09698347482401005,1.0,-0.40673002976855627,1.0,-0.4067300297685563,0.9999999999999993,-0.40673002976855666
14,0.015238872035829158,0.308873924526343,0.3178026935610228,0.31306801234673337,-0.4562022185129619,0.2830363279804905,0.33474702920825655,0.36635229156774723,-0.37945500432117646,0.2968801167721286,0.08612912355884125,-0.4067300297685561,0.9999999999999996,-0.4067300297685563,1.0,-0.4067300297685565,0.9999999999999998
15,-0.809269608673434,0.7417127148581915,0.7015624528675155,0.7380186771711285,-0.5136532732427765,0.7610732931902601,0.3769077199584918,0.7010285866857914,-0.4272347419285096,0.7516107931137173,0.09698347482401008,1.0000000000000002,-0.4067300297685565,0.9999999999999993,-0.4067300297685565,1.0,-0.40673002976855677
16,0.015238872035829699,0.3088739245263428,0.31780269356102275,0.3130680123467332,-0.456202218512962,0.28303632798049033,0.3347470292082565,0.3663522915677471,-0.3794550043211766,0.29688011677212844,0.0861291235588412,-0.40673002976855654,1.0000000000000007,-0.40673002976855666,0.9999999999999998,-0.40673002976855677,1.0
