attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhmg_1,pseudovoigt_fwhml_1,pseudovoigt_amplitude_2,pseudovoigt_center_2,pseudovoigt_fwhmg_2,pseudovoigt_fwhml_2,pseudovoigt_amplitude_3,pseudovoigt_center_3,pseudovoigt_fwhmg_3,pseudovoigt_fwhml_3,pseudovoigt_amplitude_4,pseudovoigt_center_4,pseudovoigt_fwhmg_4,pseudovoigt_fwhml_4,pseudovoigt_amplitude_5,pseudovoigt_center_5,pseudovoigt_fwhmg_5,pseudovoigt_fwhml_5
init_value,1.0,0.0,0.01,0.01,1.0,1.662,0.02,0.01,1.0,1.924,0.01,0.01,1.0,2,0.01,0.01,1.0,2.345,0.01,0.01
model_value,0.31188533431175414,0.01664784457230417,0.14329487023828708,0.19995301665003645,0.01669370395137515,1.662,0.28628541220037435,0.12531853887931088,0.024568464055060857,1.924,0.4333669743449957,0.10962934493828974,4.1998971062828794e-05,2,0.01376735812746636,0.08425183722897195,0.1404208377666578,2.345,0.20598428505852515,0.5355837052550289
best_value,0.31188533431175414,0.01664784457230417,0.14329487023828708,0.19995301665003645,0.01669370395137515,1.662,0.28628541220037435,0.12531853887931088,0.024568464055060857,1.924,0.4333669743449957,0.10962934493828974,4.1998971062828794e-05,2,0.01376735812746636,0.08425183722897195,0.1404208377666578,2.345,0.20598428505852515,0.5355837052550289
