attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhmg_1,pseudovoigt_fwhml_1,pseudovoigt_amplitude_2,pseudovoigt_center_2,pseudovoigt_fwhmg_2,pseudovoigt_fwhml_2,constant_amplitude_3,gaussian_amplitude_4,gaussian_center_4,gaussian_fwhmg_4
init_value,1.0,0.0,0.21,0.21,0.3333333333333333,1.73,0.02,0.01,1.0,1.0,2.08,0.02
model_value,0.2718935016555364,0.01725450598888756,0.29548285945318853,0.1635195378577087,0.09063116721851212,1.7472545059888875,0.1266273232325031,0.4611497443924536,0.010354723517470216,1.0,2.0972545059888876,0.02
best_value,0.2718935016555364,0.01725450598888756,0.29548285945318853,0.1635195378577087,0.09063116721851212,1.7472545059888875,0.1266273232325031,0.4611497443924536,0.010354723517470216,1.0,2.0972545059888876,0.02
