attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhmg_1,pseudovoigt_fwhml_1,pseudovoigt_amplitude_2,pseudovoigt_center_2,pseudovoigt_fwhmg_2,pseudovoigt_fwhml_2,pseudovoigt_amplitude_3,pseudovoigt_center_3,pseudovoigt_fwhmg_3,pseudovoigt_fwhml_3,gaussian_amplitude_4,gaussian_center_4,gaussian_fwhmg_4,gaussian_amplitude_5,gaussian_center_5,gaussian_fwhmg_5,gaussian_amplitude_6,gaussian_center_6,gaussian_fwhmg_6,atan_amplitude_7,atan_center_7,atan_sigma_7
init_value,1.0,5468.0,1.0,1.0,1.0,5469.0,1.0,1.0,1.0,5473.0,1.0,1.0,3.0,5478.0,1.0,4.0,5483.0,3.0,4.0,5494.0,3.0,1.0,5483.0,0.01
model_value,6.887357351104129e-11,5468.054405630964,0.1897199824713271,1.8340047382909581,1.5312014287723803,5468.965365073547,2.1735730746400175,1.429425183820899,1.4124892488220628,5475.767047063245,0.10000000837664919,3.7499977334701127,0.6090009741875487,5477.92439530641,2.5805286730950385,3.2112928728775594,5481.724992617458,4.1240411794396445,1.2428818045605532,5493.950495823278,4.749999999999982,1.0784237600535795,5483.0,0.7490707110057951
best_value,6.887357351104129e-11,5468.054405630964,0.1897199824713271,1.8340047382909581,1.5312014287723803,5468.965365073547,2.1735730746400175,1.429425183820899,1.4124892488220628,5475.767047063245,0.10000000837664919,3.7499977334701127,0.6090009741875487,5477.92439530641,2.5805286730950385,3.2112928728775594,5481.724992617458,4.1240411794396445,1.2428818045605532,5493.950495823278,4.749999999999982,1.0784237600535795,5483.0,0.7490707110057951
