attributes,energy,intensity,residual,fit,pseudovoigt_1
0,1.0,-0.33239766860327014,0.09507400249090872,-0.3003462446208014,-0.3003462446208014
1,-0.33239766860327014,1.0,-0.24604378678305439,0.9197641757538443,0.9197641757538443
2,0.09507400249090872,-0.24604378678305439,1.0,0.15410413930908268,0.15410413930908273
3,-0.3003462446208014,0.9197641757538443,0.15410413930908268,1.0,1.0
4,-0.3003462446208014,0.9197641757538443,0.15410413930908273,1.0,1.0
