energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2,pseudovoigt_3,gaussian_4,gaussian_5,gaussian_6,atan_7
5440.0988,0.00075008782,0.00613325457829908,0.00688334239829908,2.5477518269831344e-14,0.0002299953752127306,0.0006602842942843671,4.259858228995655e-260,1.5449587777325296e-123,4.193275255068707e-156,0.005993062728776505
5440.3491,0.0007137763,0.006218107450074614,0.006931883750074614,2.5939438391063845e-14,0.0002340338871588413,0.0006696236061098646,1.1016131884618945e-256,4.5686160463087665e-122,1.1426631726738381e-154,0.006028226256779969
5440.5989,0.00071128868,0.006269758966251143,0.006981047646251143,2.641306986658508e-14,0.0002381712954736742,0.0006791430291785958,2.662298682438112e-253,1.314830349899796e-120,3.0461324258918096e-153,0.00606373332157246
5440.8488,0.00063286325,0.006398104051966323,0.0070309673019663226,2.6899985440804153e-14,0.0002424210965715298,0.0006888706342961126,6.127151116252188e-250,3.712768936689873e-119,8.007293772757398e-152,0.006099675571071781
5441.1015,0.00099449376,0.006087718929064824,0.0070822126890648235,2.7406171765445164e-14,0.00024683521037575804,0.0006989211006014035,1.4586939164380406e-246,1.0660805031865058e-117,2.1495721470747327e-150,0.006136456378060256
5441.349,0.0010605063,0.006072662143982822,0.0071331684439828215,2.7915913809036578e-14,0.0002512763738024623,0.0007089792679182944,2.8105996209991916e-243,2.7997096715563514e-116,5.311393360512078e-149,0.006172912802234149
5441.5992,0.0011034319,0.006082036083867459,0.007185467983867459,2.844580335503268e-14,0.00025588890881152225,0.000719369244114519,5.584078595085743e-240,7.466264528327707e-115,1.3384866802295418e-147,0.006210209830912972
5441.8491,0.001215315,0.006023199732237316,0.007238514732237316,2.8990255357654845e-14,0.00026062383097534764,0.0007299761902924956,1.043641057323023e-236,1.9432822837502817e-113,3.3087930782543244e-146,0.006247914710940482
5442.0996,0.0011611731,0.0061313480466662395,0.00729252114666624,2.955184739778201e-14,0.0002655032193832896,0.0007408455508072781,1.885122768473291e-233,4.9945021782506135e-112,8.116711696763965e-145,0.00628617237644612
5442.3496,0.0010641958,0.006283075368452066,0.0073472711684520655,3.01287397368939e-14,0.00027051073907827716,0.000751936808867619,3.184213174246208e-230,1.2496131354620481e-110,1.9482247791099125e-143,0.006324823620476041
5442.5996,0.0011309926,0.006271900437882411,0.007402893037882411,3.0722683582178253e-14,0.0002756612373819032,0.000763278747101859,5.10577676573387e-227,3.063438384474205e-109,4.604971857766272e-142,0.006363953053367927
5442.8499,0.0014741452,0.005985331945703346,0.007459477145703346,3.133510225347277e-14,0.00028096665865601575,0.0007748930474192907,7.840144600603041e-224,7.386595126647533e-108,1.0759204597745792e-140,0.006403617439596704
5443.1003,0.0012445178,0.0062724855228322995,0.0075170033228322995,3.196626427437094e-14,0.0002864289038015645,0.0007867789748730252,1.1460105952720686e-220,1.7472509929119257e-106,2.4785008043363587e-139,0.0064437954441257436
5443.3503,0.0014717449,0.006103633813716175,0.007575378713716175,3.2615626038785005e-14,0.00029204284140905897,0.000798920527767003,1.5717251710746544e-217,4.0291613941130415e-105,5.594293254809135e-138,0.006484415344507497
5443.601,0.001410836,0.006224050483498058,0.007634886483498058,3.3286870846414276e-14,0.0002978398400207405,0.0008113801875615833,2.087617274017277e-214,9.183389987002056e-104,1.2542735984709464e-136,0.006525666455882447
5443.8513,0.0012844782,0.006410814558853532,0.0076952927588535315,3.397792107989151e-14,0.0003038014540954352,0.0008241126836025982,2.6017566790601215e-211,2.0405481563080098e-102,2.755446249619383e-135,0.00656737862112152
5444.0989,0.0016211726,0.006134877384581588,0.007756049984581588,3.468289784427909e-14,0.00030987657070929606,0.000837004653241417,2.852318995737637e-208,4.29769145116277e-101,5.766845354832117e-134,0.006609168760596192
5444.3497,0.0013805333,0.006438102920583359,0.00781863622058336,3.5419580271594437e-14,0.00031621783050111415,0.0008503737416651244,3.249490138790396e-205,9.225263045581326e-100,1.2361840350121178e-132,0.006652044648381702
5444.5998,0.0015237237,0.006358398490650242,0.007882122190650242,3.617781722128574e-14,0.00032273716469741334,0.0008640266492829008,3.4454708015103387e-202,1.923694103788854e-98,2.587181715012955e-131,0.0066953583766337504
