energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2,pseudovoigt_3,pseudovoigt_4
-0.9833333333333356,0.0255700571034611,-0.013868767171776927,0.011701289931684174,0.01015453806544558,0.0015405817727988324,4.673428196533579e-06,1.496665243226896e-06
-0.966666666666669,0.0222829579317704,-0.01022082464839669,0.012062133283373709,0.01049590815153892,0.001559984081028786,4.727522159360001e-06,1.513528646641845e-06
-0.9500000000000024,0.0177393773146719,-0.005298241745735448,0.012441135568936453,0.010855068208395805,0.0015797541210994315,4.7825607709071015e-06,1.5306786703084391e-06
-0.9333333333333358,0.0442297831686121,-0.03139007749602511,0.012839705672586986,0.011233417768789675,0.0015999012157956018,4.838566155107707e-06,1.5481218465994091e-06
-0.9166666666666692,0.0197612635256894,-0.006501825290982944,0.013259438234706456,0.011632541824446748,0.0016204349842772652,4.895561087389323e-06,1.5658648950516929e-06
-0.9000000000000026,0.0462988518357429,-0.03259669905867303,0.013702152777069869,0.012054249939902511,0.0016413653534206884,4.953569017832185e-06,1.5839147288385686e-06
-0.8833333333333359,0.0530644007155577,-0.03889445819968215,0.014169942515875548,0.012500625053651314,0.0016627025696674409,5.012614095293414e-06,1.6022784615044174e-06
-0.8666666666666692,0.089474904507891,-0.07480966947498799,0.014665235032903012,0.012974084136889207,0.0016844572114072822,5.072721192543586e-06,1.6209634139743456e-06
-0.8500000000000028,0.0648331924597528,-0.04964232515143514,0.01519086730831766,0.013477453213340831,0.0017066402019225164,5.133915932464583e-06,1.6399771218515765e-06
-0.8333333333333361,0.0440909080060478,-0.02834073006017495,0.01575017794587285,0.01401405957089148,0.0017292628229229946,5.1962247153602375e-06,1.659327343016185e-06
-0.8166666666666694,0.098570421154747,-0.08222330143653099,0.016347119718216008,0.01458784429270039,0.0017523367287026403,5.259674747434114e-06,1.6790220655394825e-06
-0.8000000000000029,0.0226088117964225,-0.005622416001764965,0.016986395794657536,0.015203498470120898,0.0017758739609502181,5.324294070491801e-06,1.6990695159291312e-06
-0.7833333333333363,0.100762417028144,-0.0830887938822296,0.01767362314591439,0.015866626591904742,0.001799886964249004,5.3901115929282295e-06,1.7194781677208673e-06
-0.7666666666666697,0.0287293767335133,-0.010313850131739511,0.01841552660177379,0.016583940585599234,0.0018243886023020588,5.4571571220639765e-06,1.7402567504335971e-06
-0.750000000000003,0.0870234230693911,-0.06780325625635514,0.01922016681303597,0.01736348776245711,0.0018493921749220554,5.5254613978980806e-06,1.7614142589055325e-06
-0.7333333333333365,0.0676497631364179,-0.04755255825831168,0.020097204878106227,0.018214915426187903,0.0018749114358269435,5.595056128348705e-06,1.7829599630299992e-06
-0.7166666666666699,0.0285448773313878,-0.007486671756360634,0.021058205575027165,0.019149774086297953,0.0019009606112852433,5.665974026057138e-06,1.8049034179106103e-06
-0.7000000000000033,0.1017561009070582,-0.07963912097477618,0.02211697993228201,0.020181860009303252,0.0019275544196574582,5.738248846834828e-06,1.827254474456558e-06
-0.6833333333333367,0.0272996614703738,-0.004009695244169869,0.02328996622620393,0.021327596195600675,0.001954708091882977,5.811915429837843e-06,1.8500232904399752e-06
-0.6666666666666701,0.1131043218039902,-0.08850767542801061,0.024596646375979594,0.022606448752933127,0.0019824373929648613,5.8870097395580655e-06,1.873220342038524e-06
-0.6500000000000035,0.0511879730170864,-0.025127980905546805,0.026059992111539594,0.024041373041685743,0.002010758644508237,5.963568909725555e-06,1.8968564358877166e-06
-0.6333333333333369,0.034413610336566,-0.006706678093352736,0.027706932243213266,0.025659280920830883,0.0020396887483714907,6.041631289222198e-06,1.9209427216688464e-06
-0.6166666666666702,0.0528502127012304,-0.023281383762581202,0.0295688289386492,0.0274915169999606,0.002069245211493222,6.121236490112598e-06,1.945490705259906e-06
-0.6000000000000036,0.1066084309163803,-0.07492648367550406,0.03168194724087624,0.029574328131213915,0.0020994461719619317,6.202425437904573e-06,1.970512262478465e-06
-0.5833333333333369,0.1173750907386769,-0.08328719240600091,0.03408789833267599,0.03194930664619865,0.0021303104263997253,6.285240424158278e-06,1.996019653447133e-06
-0.5666666666666704,0.121347991954812,-0.08451395843002894,0.03683403352478305,0.034663784315347966,0.002161857458735905,6.369725161570263e-06,2.0220255376140863e-06
-0.5500000000000038,0.0404159738107429,-0.0004422108667640687,0.03997376294397883,0.037771151005696404,0.002194107470451297,6.4559248416664295e-06,2.048542989462976e-06
-0.5333333333333372,0.1229318938881705,-0.07936512307968369,0.04356677080848681,0.0413310699243972,0.002227081412379424,6.543886195246014e-06,2.0755855149486606e-06
-0.5166666666666706,0.0555696318939941,-0.007890533456194934,0.04767909843779917,0.0454095605950184,0.0022608010181563456,6.633657555727616e-06,2.1031670686973076e-06
-0.500000000000004,0.0882898705374889,-0.03590680332084145,0.05238306721664744,0.050078921786232786,0.0022952888394170913,6.725288925557543e-06,2.1313020720117786e-06
-0.4833333333333373,0.1329954144767543,-0.07523839739326015,0.057757017083494164,0.05541746996317344,0.0023305682828431516,6.818832045850853e-06,2.1600054317256743e-06
-0.4666666666666708,0.1368883871498967,-0.07300354497749302,0.06388484217240369,0.06150907489020174,0.0023666636491725583,6.914340469446251e-06,2.1892925599520555e-06
-0.4500000000000042,0.1255701838721387,-0.05471486951819901,0.07085531435393969,0.0684424831306157,0.0024036001742916485,7.011869637567335e-06,2.2191793947757016e-06
-0.4333333333333376,0.1085897237046845,-0.02982852588844516,0.07876119781623935,0.07631043258432137,0.0024414040725357538,7.111476960295204e-06,2.249682421940774e-06
