energy,intensity,residual,fit,gaussian_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6,gaussian_7,gaussian_8
-0.9833333333333356,0.0099009900990098,-0.0011194029959903738,0.008781587103019427,8.387920235561997e-22,5.1377533254783605e-31,-3.713687888369876e-169,-5.195489694520354e-219,0.008781587103019328,6.261313288235833e-31,9.91098546217462e-17,2.4986781206550477e-203
-0.966666666666669,0.0102359965880011,-0.0012425086625975183,0.008993487925403582,4.1590047744162115e-21,1.0546609617581106e-30,-2.707443455659629e-167,-1.003030141386334e-216,0.008993487925403467,1.0537149624374478e-30,1.1530304232172943e-16,6.8391983531394315e-202
-0.9500000000000024,0.0105882352941175,-0.00137943560969251,0.00920879968442499,2.0073861163246875e-20,2.1567301360901805e-30,-1.926993998544854e-165,-1.8832655372857037e-214,0.009208799684424857,1.7697114209998833e-30,1.3409689878788348e-16,1.8499335777043908e-200
-0.9333333333333358,0.0109589041095889,-0.0015313806080106945,0.009427523501578206,9.431456879423266e-20,4.393615590823066e-30,-1.338962154004649e-163,-3.438897357233556e-212,0.00942752350157805,2.9662199711883273e-30,1.5590166097287413e-16,4.944963851784138e-199
-0.9166666666666692,0.0113493064312736,-0.0016996478204299847,0.009649658610843615,4.3135319687079617e-19,8.91644264920575e-30,-9.082872426077576e-162,-6.10712693312719e-210,0.009649658610843435,4.9616468516197526e-30,1.8119107032856443e-16,1.3062495606948922e-197
-0.9000000000000026,0.0117608624632472,-0.0018856601488155007,0.009875202314431699,1.9204085409130443e-18,1.8026212997429775e-29,-6.015131134510105e-160,-1.0547869766273165e-207,0.009875202314431487,8.28266200680038e-30,2.105120105101826e-16,3.409928273022875e-196
-0.8833333333333359,0.0121951219512194,-0.002090972011932965,0.010104149939286435,8.322630366911823e-18,3.630451925712335e-29,-3.88896431414838e-158,-1.7717508520330105e-205,0.010104149939286182,1.3798618992253967e-29,2.44495577497836e-16,8.796712138520653e-195
-0.8666666666666692,0.0126537785588751,-0.0023172837644605867,0.010336494794414513,3.511025266893565e-17,7.283836624427834e-29,-2.4546512026851195e-156,-2.8943471577069824e-203,0.010336494794414194,2.2941557620477276e-29,2.8386979037222757e-16,2.242598706503715e-193
-0.8500000000000028,0.0131386861313868,-0.002566458002279245,0.010572228129107556,1.4418287236664726e-16,1.4558043605710033e-28,-1.5125599369936472e-154,-4.598420367274725e-201,0.010572228129107082,3.806552055956809e-29,3.2947418054958134e-16,5.649874544481639e-192
-0.8333333333333361,0.0136518771331057,-0.0028405380409807137,0.010811339092124986,5.763678684758848e-16,2.8986057521504942e-28,-9.099182380341849e-153,-7.105208038093275e-199,0.010811339092124029,6.303216724591307e-29,3.822765309433815e-16,1.4066371777353955e-190
-0.8166666666666694,0.0141955835962144,-0.0031417689043087577,0.011053814691905643,2.242808639201918e-15,5.7493480111310235e-28,-5.343909807085763e-151,-1.0677141686615019e-196,0.011053814691902955,1.0416319692129443e-28,4.433920748288063e-16,3.4608392638307207e-189
-0.8000000000000029,0.0147722609766104,-0.003472621218733282,0.011299639757877119,8.495541176250031e-15,1.136034078195066e-27,-3.063958242644606e-149,-1.5604264110152406e-194,0.01129963975786811,1.7178607445377063e-28,5.141055077644095e-16,8.414664734019427e-188
-0.7833333333333363,0.0153846153846152,-0.0038358184816809585,0.011548796902934241,3.132537280155459e-14,2.2361834818439996e-27,-1.7150371725914828e-147,-2.2178984522983035e-192,0.011548796902902319,2.8273736410096635e-28,5.958962154790054e-16,2.0218468466499706e-186
-0.7666666666666697,0.0160356347438751,-0.004234368256709902,0.011801266487165198,1.1243662926807066e-13,4.384972003623224e-27,-9.371976822106142e-146,-3.065844350154763e-190,0.011801266487052072,4.6440838066984815e-28,6.904671769580776e-16,4.800823539906124e-185
-0.750000000000003,0.0167286245353158,-0.004671597952388629,0.01205702658292717,3.92849094859994e-13,8.565831532032874e-27,-4.999837010258685e-144,-4.121626426800257e-188,0.012057026582533522,7.6126959793991305e-28,7.997780659623232e-16,1.1265209731845268e-183
-0.7333333333333365,0.0174672489082968,-0.005151195966852326,0.012316052941444474,1.3361341569511693e-12,1.6669230287205385e-26,-2.6040388604266393e-142,-5.388864064192984e-186,0.012316052940107413,1.2453703398112405e-27,9.26083146898437e-16,2.61227485679111e-182
-0.7166666666666699,0.0182555780933061,-0.005677259131990983,0.012578318961315118,4.423649878090211e-12,3.231505342184731e-26,-1.3240550675572477e-140,-6.852292767457821e-184,0.012578318956890395,2.0332002034531564e-27,1.0719746434848807e-15,5.986245302277805e-181
-0.7000000000000033,0.019098143236074,-0.0062543475761460375,0.012843795659927961,1.4256660122812446e-11,6.240760613121858e-26,-6.572515326604469e-139,-8.473926070904229e-182,0.01284379564567006,3.312709590653007e-27,1.2404323523076251e-15,1.35564569217587e-179
-0.6833333333333367,0.0199999999999998,-0.006887548349481911,0.013112451650517888,4.472611914251214e-11,1.2006418679904562e-25,-3.1851078326926776e-137,-1.0191626759435648e-179,0.013112451605790335,5.386518798600614e-27,1.4348803796002797e-15,3.033848834458022e-178
-0.6666666666666701,0.020966802562609,-0.007582549430346587,0.013384253132262413,1.3658751591308633e-10,2.301085508864267e-25,-1.5068972679562798e-135,-1.1920992894703818e-177,0.01338425299567324,8.74086854557353e-27,1.6592520000553152e-15,6.709616951843535e-177
-0.6500000000000035,0.0220048899755498,-0.00834572606246694,0.01365916391308286,4.0603845557277007e-10,4.3933453677835175e-25,-6.960014169467931e-134,-1.3560990972053965e-175,0.013659163507042485,1.4155414542015916e-26,1.918063773026951e-15,1.4664172712601556e-175
