attributes,energy,intensity,residual,fit,gaussian_4
energy,1.0,-0.14137111772445488,0.278623252174426,-0.11803999279634708,0.1287423226301151
intensity,-0.14137111772445488,1.0,-0.08587566720531115,0.9963551305572683,-0.0022900575483931554
residual,0.278623252174426,-0.08587566720531115,1.0,-0.0005756469781231431,-0.18221403501813274
fit,-0.11803999279634708,0.9963551305572683,-0.0005756469781231431,1.0,-0.017899425888016178
gaussian_4,0.1287423226301151,-0.0022900575483931554,-0.18221403501813274,-0.017899425888016178,1.0
