attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhmg_1,pseudovoigt_fwhml_1
pseudovoigt_center_1,-1.9324519009210785e-05,,,
pseudovoigt_fwhmg_1,-0.09476207718248959,-4.635593508518456e-06,,
