energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2,constant_3,gaussian_4
-1.6,0.0,0.03860835067784256,0.03860835067784256,0.0010203787554590932,0.0008192445898919191,0.03676872733249155,0.0
-1.5833333333333335,0.003891050583657596,0.034755929338874086,0.03864697992253168,0.0010414867929510528,0.0008367657970890763,0.03676872733249155,0.0
-1.5666666666666669,0.003973071404922201,0.034713767352860754,0.038686838757782956,0.0010632564601278677,0.0008548549651635387,0.03676872733249155,0.0
-1.5500000000000003,0.00405770964833183,0.034670270277321384,0.038727979925653216,0.0010857156923063493,0.0008735369008553154,0.03676872733249155,0.0
-1.5333333333333337,0.0041450777202072485,0.034625381306410005,0.03877045902661726,0.0011088939144357798,0.0008928377796899282,0.03676872733249155,0.0
-1.516666666666667,0.004235294117647068,0.03457904058984698,0.03881433470749405,0.0011328221374159867,0.0009127852375865147,0.03676872733249155,0.0
-1.5000000000000004,0.0043284838283034685,0.03453118503564271,0.03885966886394618,0.001157533061758024,0.0009334084696966048,0.03676872733249155,0.0
-1.4833333333333338,0.004424778761061949,0.03448174809779662,0.038906526858858564,0.0011830611892340247,0.000954738337132994,0.03676872733249155,0.0
-1.4666666666666672,0.004524318210380788,0.0344306595476548,0.03895497775803559,0.0012094429432274996,0.0009768074823165388,0.03676872733249155,0.0
-1.4500000000000006,0.0046272493573264635,0.03437784522747757,0.03900509458480403,0.001236716798567391,0.0009996504537450903,0.03676872733249155,0.0
-1.433333333333334,0.004733727810650881,0.03432322678462423,0.03905695459527511,0.0012649234217094027,0.0010233038410741566,0.03676872733249155,0.0
-1.4166666666666674,0.004843918191603862,0.03426672138459972,0.03911063957620358,0.0012941058222175556,0.0010478064214944763,0.03676872733249155,0.0
-1.4000000000000008,0.004957994766561084,0.034208241401028024,0.03916623616758911,0.0013243095165987808,0.001073199318498782,0.03676872733249155,0.0
-1.383333333333334,0.005076142131979685,0.0341476940804171,0.039223836212396786,0.0013555827056549597,0.001099526174250279,0.03676872733249155,0.0
-1.3666666666666676,0.005198555956678712,0.03408498117935497,0.03928353713603368,0.0013879764666417237,0.001126833336900406,0.03676872733249155,0.0
-1.3500000000000008,0.0053254437869822225,0.034019998571528126,0.03934544235851035,0.0014215449616632964,0.0011551700643555025,0.03676872733249155,0.0
-1.3333333333333344,0.005457025920873108,0.03395263582167139,0.0394096617425445,0.0014563456638896925,0.0011845887461632576,0.03676872733249155,0.0
-1.3166666666666675,0.005593536357986327,0.03388277572324744,0.03947631208123376,0.0014924396033590538,0.0012151451453831575,0.03676872733249155,0.0
-1.3000000000000012,0.0057352238330412595,0.03381029379630025,0.03954551762934151,0.001529891634326391,0.0012468986625235724,0.03676872733249155,0.0
-1.2833333333333343,0.005882352941176454,0.03373505774153422,0.03961741068271068,0.001568770726343699,0.0012799126238754273,0.03676872733249155,0.0
-1.266666666666668,0.006035205364626978,0.03365692684622595,0.03969213221085292,0.0016091502815087193,0.0013142545968526543,0.03676872733249155,0.0
-1.250000000000001,0.006194081211286973,0.033575751337077325,0.039769832548364296,0.0016511084806048093,0.0013499967352679399,0.03676872733249155,0.0
-1.2333333333333347,0.006359300476947529,0.033491371674555175,0.0398506721515027,0.0016947286611770133,0.001387216157834144,0.03676872733249155,0.0
-1.216666666666668,0.00653120464441218,0.0334036177826287,0.039934822427040884,0.0017400997309551908,0.0014259953635941418,0.03676872733249155,0.0
-1.2000000000000015,0.006710158434296354,0.03331230820709761,0.040022466641393965,0.0017873166204501656,0.0014664226884522518,0.03676872733249155,0.0
-1.183333333333335,0.006896551724137925,0.033217249194892835,0.04011380091903076,0.001836480779020952,0.0015085928075182593,0.03676872733249155,0.0
-1.1666666666666683,0.007090801654520351,0.03311823368581079,0.040209035340331135,0.0018877007192486866,0.0015526072885909013,0.03676872733249155,0.0
-1.1500000000000017,0.0072933549432738845,0.03301504020709824,0.04030839515037212,0.001941092615066285,0.0015985752028142852,0.03676872733249155,0.0
-1.133333333333335,0.007504690431519682,0.03290743166011859,0.040412122091638275,0.001996780959793788,0.0016466137993529396,0.03676872733249155,0.0
-1.1166666666666685,0.0077253218884119875,0.032795153986978146,0.040520475875390136,0.0020548992910319514,0.0016968492518666329,0.03676872733249155,0.0
-1.1000000000000019,0.007955801104972366,0.03267793470345212,0.040633735808424484,0.002115590990287214,0.00174941748564572,0.03676872733249155,0.0
-1.0833333333333353,0.008196721311475363,0.03255548128279151,0.04075220259426687,0.0021790101662591196,0.0018044650955162072,0.03676872733249155,0.0
-1.0666666666666687,0.008448720957521673,0.03242747937298003,0.040876200330501704,0.00224532263193951,0.0018621503660706433,0.03676872733249155,0.0
-1.050000000000002,0.008712487899322318,0.032293590827708996,0.04100607872703131,0.0023147069870783337,0.0019226444074614303,0.03676872733249155,0.0
-1.0333333333333354,0.00898876404494378,0.03215345152869319,0.041142215573636974,0.0023873558191960303,0.001986132421949395,0.03676872733249155,0.0
-1.0166666666666688,0.009278350515463833,0.03200666897391602,0.04128501948937985,0.002463477038205273,0.002052815118683034,0.03676872733249155,0.0
-1.0000000000000022,0.009582113388341695,0.031852819602894655,0.04143493299123635,0.002543295361891246,0.002122910296853553,0.03676872733249155,0.0
-0.9833333333333357,0.009900990099009844,0.03169144582602684,0.04159243592503668,0.002627053972044079,0.002196654620501058,0.03676872733249155,0.0
-0.966666666666669,0.010235996588001109,0.03152205272042256,0.04175804930842367,0.0027150163640052125,0.002274305611926903,0.03676872733249155,0.0
