attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhm_g_1,pseudovoigt_fwhm_l_1,pseudovoigt_amplitude_2,pseudovoigt_center_2,pseudovoigt_fwhm_g_2,pseudovoigt_fwhm_l_2,pseudovoigt_amplitude_3,pseudovoigt_center_3,pseudovoigt_fwhm_g_3,pseudovoigt_fwhm_l_3,pseudovoigt_amplitude_4,pseudovoigt_center_4,pseudovoigt_fwhm_g_4,pseudovoigt_fwhm_l_4
init_value,1.0,0.0,0.01,0.01,1.0,1.662,0.02,0.01,1.0,1.924,0.01,0.01,1.0,2.0,0.01,0.01
model_value,0.38375663911558955,0.014496891928720945,0.48521560203415726,0.2946703440870012,0.13455277212710048,1.664863612036888,0.18114740449313788,0.49824502075831617,0.007240699208373114,1.921415979072355,0.01776175887915667,0.023555503679900603,0.0035450082861483434,2.0,0.04047852962214431,0.024910717042060205
best_value,0.38375663911558955,0.014496891928720945,0.48521560203415726,0.2946703440870012,0.13455277212710048,1.664863612036888,0.18114740449313788,0.49824502075831617,0.007240699208373114,1.921415979072355,0.01776175887915667,0.023555503679900603,0.0035450082861483434,2.0,0.04047852962214431,0.024910717042060205
