energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-1.6,0.0400858489876045,-0.03601658108429073,0.0040692679033137655,0.0040692679033137655,7.546462185014181e-141,7.566618585272809e-125,1.0376170009989641e-100,1.0701803530743635e-166,9.188723386878793e-213
-1.5833333333333337,0.0475041440952422,-0.04335002056845435,0.004154123526787852,0.004154123526787853,2.0564309770768394e-139,7.818831372933307e-124,8.410121028157857e-100,1.5953780461858203e-165,1.953054104467919e-211
-1.5666666666666669,0.0351039991525463,-0.030862341446117138,0.004241657706429161,0.004241657706429159,5.508735692712481e-138,8.001979410341986e-123,6.751284977111621e-99,2.3555334566542743e-164,4.111425251569583e-210
-1.5500000000000005,0.0563217208307631,-0.05198973661237862,0.004331984218384481,0.00433198421838448,1.450630469000901e-136,8.110891481054371e-122,5.3677176441074375e-98,3.4445617171995843e-163,8.572145839312649e-209
-1.5333333333333337,0.0123286079864157,-0.007903385050428133,0.0044252229359875665,0.0044252229359875665,3.7551623324723715e-135,8.142454317603933e-121,4.2268020855223296e-97,4.988818360074206e-162,1.7701323180226174e-207
-1.516666666666667,0.053024724969143,-0.04850322474362374,0.004521500225519261,0.004521500225519262,9.555814223619807e-134,8.095760450054695e-120,3.2965008431707976e-96,7.156166571771182e-161,3.620269814213916e-206
-1.5000000000000004,0.075258573471119,-0.07063762409889972,0.004620949372219282,0.004620949372219282,2.3904173990296722e-132,7.972151551862424e-119,2.546323024887225e-95,1.0166751720679617e-159,7.333227779159982e-205
-1.4833333333333338,0.0262832763496441,-0.021559565310426774,0.004723711039217326,0.004723711039217327,5.878233665831428e-131,7.7751543936412685e-118,1.9480173963490688e-94,1.4305499374630011e-158,1.471188896632211e-203
-1.4666666666666672,0.0115852148960622,-0.0067552811337436925,0.004829933762318508,0.004829933762318508,1.4209768789338928e-129,7.510313671443048e-117,1.4760164326979573e-93,1.9936221735812655e-157,2.923214807800292e-202
-1.4500000000000006,0.0915722853744314,-0.08663251089055618,0.0049397744838752256,0.004939774483875231,3.3767136890747644e-128,7.184932767862712e-116,1.1076653799328413e-92,2.7517040042542e-156,5.752704276353386e-201
-1.433333333333334,0.0446540782140155,-0.03960067908470691,0.005053399129308592,0.005053399129308594,7.888029509633914e-127,6.807739358450096e-115,8.232751360624879e-92,3.7616605640361505e-155,1.1212498458934947e-199
-1.4166666666666674,0.0682723930643514,-0.06310140983413996,0.005170983230211437,0.005170983230211443,1.8113812840114172e-125,6.388497216234705e-114,6.06038820848646e-91,5.093033353089765e-154,2.1644709994390308e-198
-1.4000000000000008,0.0558643989978353,-0.05057168639945836,0.005292712598376943,0.00529271259837694,4.089011074611694e-124,5.937588261155517e-113,4.418500592069665e-90,6.829555902877563e-153,4.1382828776718325e-197
-1.383333333333334,0.0519569913045801,-0.046538207249023196,0.005418784055556902,0.005418784055556901,9.073895193464999e-123,5.465589690355868e-112,3.1905710360325306e-89,9.070420811174087e-152,7.836237764368773e-196
-1.3666666666666676,0.0452947674515218,-0.03974536122725276,0.005549406224269041,0.005549406224269039,1.979412424150581e-121,4.9828699345221024e-111,2.2818177126466774e-88,1.1931126099219403e-150,1.4696504880085873e-194
-1.3500000000000008,0.0461405494528854,-0.040455749067336164,0.005684800385549235,0.005684800385549239,4.2446891017919185e-120,4.499224411683016e-110,1.6162647584291223e-87,1.5543702063483293e-149,2.7298548114147445e-193
-1.3333333333333344,0.0235251449314025,-0.017699943521210373,0.005825201410192129,0.00582520141019213,8.947929257280518e-119,4.0235679326413797e-109,1.1338695379421402e-86,2.0056101489094755e-148,5.022085053966203e-192
-1.3166666666666675,0.0958572375229931,-0.08988637875224288,0.005970858770750223,0.005970858770750226,1.8542413373508637e-117,3.5636955900443244e-108,7.878303367860883e-86,2.5630530882681037e-147,9.150558579882346e-191
-1.3000000000000012,0.0712792242421315,-0.06515718659975218,0.006122037642379313,0.006122037642379309,3.7772613673927763e-116,3.126118522107902e-107,5.421523443707836e-85,3.2440512959418975e-146,1.651315948812081e-189
-1.2833333333333343,0.1050855918507688,-0.09880657174923005,0.006279020101538746,0.006279020101538745,7.564058451068679e-115,2.7159755638600057e-106,3.695123923686485e-84,4.06665052052874e-145,2.951425145801459e-188
-1.266666666666668,0.0842006092803171,-0.07775850284772338,0.006442106432593714,0.006442106432593714,1.489017413719199e-113,2.337016912792945e-105,2.4943403009131934e-83,5.048995903565231e-144,5.224592210584824e-187
-1.250000000000001,0.0170856863345499,-0.010474069781010446,0.006611616553539455,0.006611616553539454,2.8814543167390263e-112,1.9916518824148963e-104,1.6676366347941994e-82,6.208579018134351e-143,9.159927829920624e-186
-1.2333333333333347,0.0334467210279434,-0.0266588294545492,0.006787891573394204,0.006787891573394205,5.481390737776856e-111,1.6810498236102601e-103,1.104246874155055e-81,7.561334227168545e-142,1.5905624781202708e-184
-1.216666666666668,0.0083076107264714,-0.0013363152311607887,0.006971295495310612,0.006971295495310612,1.0250306363687153e-109,1.405281465537263e-102,7.241857215378453e-81,9.120605797186011e-141,2.735447865882609e-183
-1.2000000000000015,0.0691372440712335,-0.061975026990073234,0.0071622170811602714,0.007162217081160271,1.8842997538958222e-108,1.1634872536191602e-101,4.7038424252733074e-80,1.0896021800120701e-139,4.659348326719746e-182
-1.183333333333335,0.0870026399435306,-0.0796415680482465,0.007361071895284094,0.007361071895284099,3.405102567623609e-107,9.540596307556709e-101,3.026039548595335e-79,1.2892325722596144e-138,7.860332972435975e-181
-1.1666666666666683,0.0856501918872604,-0.07808188733995432,0.007568304547306087,0.007568304547306083,6.048914781908491e-106,7.748274327958852e-100,1.928037437077099e-78,1.5108230535589207e-137,1.3133356589613625e-179
-1.1500000000000017,0.0184664105258557,-0.010682019369433027,0.007784391156422672,0.007784391156422671,1.0563109829255353e-104,6.2323241841972895e-99,1.216677153362685e-77,1.7535371236208088e-136,2.1733494246341467e-178
-1.133333333333335,0.1012696893139263,-0.09325984725147529,0.008009842062451006,0.008009842062451004,1.8133147148666394e-103,4.964901782931992e-98,7.604212966728232e-77,2.0157438991153275e-135,3.562069630537745e-177
-1.1166666666666685,0.0900266923271905,-0.08178148751498657,0.008245204812203935,0.008245204812203933,3.0600014869284286e-102,3.91730030151404e-97,4.707086916421999e-76,2.2949581550152945e-134,5.7822155956224726e-176
-1.100000000000002,0.0649266938753068,-0.05643562642178282,0.008491067453523987,0.008491067453523987,5.076181598769013e-101,3.061107976037518e-96,2.8858196861822285e-75,2.5878149431123447e-133,9.296194134454529e-175
