energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-1.6,0.0400858489876045,-0.036016585668141976,0.0040692633194625225,0.004069263319462522,8.291308072614024e-141,7.573821938019411e-125,1.1290995712609413e-100,1.0410937927294777e-166,9.189279747416865e-213
-1.5833333333333337,0.0475041440952422,-0.04335002524502612,0.004154118850216083,0.0041541188502160825,2.2582824293923028e-139,7.825287177696693e-124,9.14809793238321e-100,1.55216865270789e-165,1.953171652880344e-211
-1.5666666666666669,0.0351039991525463,-0.030862346218245094,0.004241652934301204,0.004241652934301203,6.046450918292079e-138,8.007584083115294e-123,7.340884579010263e-99,2.2919597537343957e-164,4.1116712206975416e-210
-1.5500000000000005,0.0563217208307631,-0.051989741483014974,0.004331979347748129,0.004331979347748128,1.5914385766622274e-136,8.115564987916387e-122,5.834249720247765e-98,3.351923467532426e-163,8.572655578043915e-209
-1.5333333333333337,0.0123286079864157,-0.007903390022647672,0.004425217963768028,0.004425217963768028,4.117620368191482e-135,8.146143217704476e-121,4.592410066630828e-97,4.855122909722828e-162,1.7702369387335522e-207
-1.516666666666667,0.053024724969143,-0.048503229820630246,0.004521495148512751,0.004521495148512753,1.0472968537153012e-133,8.098439676940378e-120,3.580266330042191e-96,6.965068488473335e-161,3.6204824765160286e-206
-1.5000000000000004,0.075258573471119,-0.07063762928403279,0.0046209441870862095,0.004620944187086205,2.6185469620633244e-132,7.973824836349404e-119,2.764451889269844e-95,9.896225473375091e-160,7.33365589959374e-205
-1.4833333333333338,0.0262832763496441,-0.021559570607169086,0.004723705742475014,0.0047237057424750145,6.436029238225597e-131,7.775853322206897e-118,2.1140816951115593e-94,1.3926205509414067e-158,1.4712742545495997e-203
-1.4666666666666672,0.0115852148960622,-0.006755286545728696,0.004829928350333504,0.004829928350333504,1.5550441458451553e-129,7.510095464331206e-117,1.6012292815740697e-93,1.9409531192730642e-157,2.923383355897794e-202
-1.4500000000000006,0.0915722853744314,-0.08663251642157635,0.004939768952855056,0.004939768952855056,3.6934694389965017e-128,7.183876943122376e-116,1.2011695351554583e-92,2.6792690029016583e-156,5.753033890534757e-201
-1.433333333333334,0.0446540782140155,-0.03960068473872251,0.005053393475292989,0.005053393475292985,8.623694641795007e-127,6.805943515267474e-115,8.924299196446164e-92,3.662997492375554e-155,1.1213136854240382e-199
-1.4166666666666674,0.0682723930643514,-0.06310141561528841,0.005170977449062988,0.005170977449062985,1.97933499571285e-125,6.386072217974606e-114,6.566938711643517e-91,4.95993460933701e-154,2.164593454019462e-198
-1.4000000000000008,0.0558643989978353,-0.050571692312064216,0.005292706685771087,0.005292706685771089,4.465934091823435e-124,5.934653122458795e-113,4.785979477373594e-90,6.651725340446576e-153,4.1385155055207784e-197
-1.383333333333334,0.0519569913045801,-0.04653821329760879,0.0054187780069713115,0.005418778006971312,9.905408455449033e-123,5.462266472650251e-112,3.454599682203632e-89,8.835104557727011e-152,7.836675437084982e-196
-1.3666666666666676,0.0452947674515218,-0.03974536741654964,0.00554940003497216,0.005549400034972159,2.1597303970226143e-121,4.9792789318387684e-111,2.4696968812614116e-88,1.162272885996723e-150,1.469732040663915e-194
-1.3500000000000008,0.0461405494528854,-0.04045575540229729,0.00568479405058811,0.0056847940505881135,4.629070189238749e-120,4.4954798671894714e-110,1.748673005084933e-87,1.5143405348146863e-149,2.7300053082497573e-193
-1.3333333333333344,0.0235251449314025,-0.017699950007023162,0.005825194924379339,0.00582519492437934,9.75337818081816e-119,4.019774470717067e-109,1.2262883036523711e-86,1.9541505360636505e-148,5.02236010736083e-192
-1.3166666666666675,0.0958572375229931,-0.08988638539434321,0.005970852128649895,0.005970852128649895,2.0201491500639317e-117,3.5599454848324266e-108,8.517175459012428e-86,2.4975345952328345e-147,9.151056439374718e-191
-1.3000000000000012,0.0712792242421315,-0.06515719340383941,0.006122030838292089,0.006122030838292094,4.1131910221088617e-116,3.122489857306282e-107,5.858920836118535e-85,3.1614333989112095e-146,1.6514051963941065e-189
-1.2833333333333343,0.1050855918507688,-0.09880657872128304,0.006279013129485755,0.006279013129485752,8.23268305799103e-115,2.712531275690918e-106,3.991707350567882e-84,3.9634701277753975e-145,2.9515835934351305e-188
-1.266666666666668,0.0842006092803171,-0.07775850999401791,0.0064420992862991855,0.00644209928629919,1.619835774696608e-113,2.3338046533179413e-105,2.6935111976787977e-83,4.9213717208614174e-144,5.224870806292521e-187
-1.250000000000001,0.0170856863345499,-0.010474077108137685,0.006611609226412216,0.006611609226412216,3.1330523339541695e-112,1.9887045970784938e-104,1.8001052760616727e-82,6.052234924191662e-143,9.1604129644521e-186
-1.2333333333333347,0.0334467210279434,-0.026658836969435766,0.006787884058507637,0.006787884058507639,5.957051920310863e-111,1.6783869070795626e-103,1.1915055019162188e-81,7.371645009074412e-142,1.5906461440765574e-184
-1.216666666666668,0.0083076107264714,-0.0013363229410902535,0.006971287785381147,0.006971287785381147,1.1134281429569645e-109,1.4029103440685307e-102,7.811118514606061e-81,8.892667959518986e-141,2.7355907664401386e-183
-1.2000000000000015,0.0691372440712335,-0.061975034902709315,0.00716220916852419,0.007162209168524191,2.0457854065968805e-108,1.1614052395243961e-101,5.071651814605539e-80,1.0624751178023813e-139,4.659590049360302e-182
-1.183333333333335,0.0870026399435306,-0.07964157617165808,0.007361063771872511,0.007361063771872506,3.695090088699152e-107,9.52255903233264e-101,3.2614044614740724e-79,1.2572582303895615e-138,7.86073791992857e-181
-1.1666666666666683,0.0856501918872604,-0.07808189568264252,0.00756829620461788,0.007568296204617883,6.560803932150414e-106,7.732850168752764e-100,2.0772028968918282e-78,1.4734969268845082e-137,1.3134028448047795e-179
-1.1500000000000017,0.0184664105258557,-0.010682027940360318,0.007784382585495381,0.00778438258549538,1.1451336062388559e-104,6.219300571717659e-99,1.3103044201629229e-77,1.7103815745660685e-136,2.1734598208564196e-178
-1.133333333333335,0.1012696893139263,-0.09325985606009714,0.00800983325382916,0.008009833253829162,1.9648180266042699e-103,4.954040198724476e-98,8.186240894515368e-77,1.966327314698638e-135,3.5622492807417385e-177
-1.1166666666666685,0.0900266923271905,-0.08178149657128561,0.008245195755904891,0.008245195755904888,3.3140234784178848e-102,3.9083507803682386e-97,5.065424685785904e-76,2.2389151895830394e-134,5.782505128557253e-176
-1.100000000000002,0.0649266938753068,-0.05643563573630597,0.008491058139000834,0.008491058139000831,5.49485075057611e-101,3.053820974280043e-96,3.1043182101591036e-75,2.524866971310546e-133,9.296656264979934e-175
-1.0833333333333353,0.0122839490137762,-0.003535896424044579,0.00874805258973162,0.00874805258973162,8.956189903178241e-100,2.3632498604839172e-95,1.884237445672924e-74,2.8200602530445025e-132,1.4803232099219122e-173
-1.0666666666666689,0.0511603760966481,-0.04214351663831839,0.00901685945832971,0.00901685945832971,1.4350193573737625e-98,1.8113056314516675e-94,1.1327238790067465e-73,3.119588434853364e-131,2.3345616720321545e-172
-1.050000000000002,0.1007672062998335,-0.0914689945836144,0.009298211716219099,0.009298211716219102,2.260264678204682e-97,1.3749593635104966e-93,6.74421659487667e-73,3.4178676661851174e-130,3.6464745068660897e-171
-1.0333333333333354,0.0645506382958404,-0.05495773839498892,0.009592899900851479,0.009592899900851482,3.4996765706012944e-96,1.0337226150963217e-92,3.9770219763050786e-72,3.7087897446498916e-129,5.6410511805317355e-170
-1.0166666666666688,0.085381815664481,-0.07548003805505028,0.009901777609430715,0.009901777609430716,5.326765702875402e-95,7.697225347652508e-92,2.3227555154804253e-71,3.98591663316385e-128,8.643028125249874e-169
-1.0000000000000022,0.1016522378151484,-0.09142647020312043,0.010225767612027967,0.010225767612027972,7.970147386413486e-94,5.676497020619678e-91,1.3435939419597336e-70,4.242708914329497e-127,1.3115680851172814e-167
